rollup_key,project_key,name,rollup_mode,child_epic_count,driving_epic_count,reference_epic_count,total_story_points,completed_story_points,logged_hours,completed_logged_hours,hours_accuracy_percent,percent_complete
Operations Q1,OPS,Operations Q1,fixVersion,10,10,0,209.0,72.0,153.5,33.0,5.7,34
Operations Q2,OPS,Operations Q2,fixVersion,9,9,0,190.0,73.0,157.5,58.0,9.9,38
Platform Q1,PLAT,Platform Q1,fixVersion,10,10,0,209.0,63.0,179.0,58.5,11.6,30
Platform Q2,PLAT,Platform Q2,fixVersion,9,9,0,184.0,58.0,148.0,49.0,10.6,32
Qualification Event 1,PLAT,Qualification Event 1,fixVersion,1,1,0,19.0,10.0,14.5,6.0,7.5,53
Qualification Event 2,OPS,Qualification Event 2,fixVersion,1,1,0,19.0,3.0,14.5,5.5,22.9,16
Shared Services 2026,PLAT,Shared Services 2026,fixVersion,10,10,0,215.0,78.0,151.5,53.5,8.6,36
INIT-100,MULTIPLE,Customer Identity And Access,initiative,29,29,0,591.0,200.0,447.0,161.5,10.1,34
INIT-1200,WEB,Search And Discovery,initiative,15,15,0,313.0,99.0,249.0,88.5,11.2,32
INIT-1500,DATA,Forecasting Program,initiative,11,11,0,229.0,85.0,181.5,58.5,8.6,37
INIT-200,CORE,Revenue And Billing Modernization,initiative,13,13,0,326.0,103.0,279.5,94.5,11.5,32
INIT-300,DATA,Data Foundations,initiative,12,12,0,253.0,85.0,176.5,60.5,8.9,34
INIT-500,WEB,Web Experience Refresh,initiative,15,15,0,312.0,95.0,253.5,84.0,11.1,30
INIT-600,DATA,Program Reporting,initiative,12,12,0,249.0,77.0,215.5,72.0,11.7,31
INIT-700,CORE,Security Hardening,initiative,12,12,0,233.0,84.0,185.5,66.0,9.8,36
INIT-800,CORE,Integrations Roadmap,initiative,11,11,0,243.0,91.0,167.0,61.5,8.4,37
